1,A1,,,,,,,,,,,,,,,,,,,,,,
2,A1,,,,,,,,,,,,,,,,,,,,,,
3,A2,A1,,,,,,,,,,,,,,,,,,,,,
4,A1,A1,A2,A1,A2,A1,A2,A1,A3,A1,A3,A1,A1,A3,A3,A1,A1,A4,A1,A1,,,
5,A1,A1,A3,A1,A1,A3,A1,A1,A1,A2,A1,A2,A1,A4,A1,A3,A3,A1,A4,A1,,,
6,A1,A3,A1,A3,A1,A1,A3,A2,A3,A3,A3,A2,A3,A1,A2,A2,A3,A1,A3,A1,A1,A3,A1
7,A2,,,,,,,,,,,,,,,,,,,,,,
8,A2,A2,A2,A1,,,,,,,,,,,,,,,,,,,
9,A3,A4,A3,A1,,,,,,,,,,,,,,,,,,,
10,A1,,,,,,,,,,,,,,,,,,,,,,
11,A1,A1,,,,,,,,,,,,,,,,,,,,,
12,A1,,,,,,,,,,,,,,,,,,,,,,
13,A1,,,,,,,,,,,,,,,,,,,,,,
14,A1,,,,,,,,,,,,,,,,,,,,,,
15,A1,,,,,,,,,,,,,,,,,,,,,,
16,A1,,,,,,,,,,,,,,,,,,,,,,
17,A1,,,,,,,,,,,,,,,,,,,,,,
18,A1,A1,,,,,,,,,,,,,,,,,,,,,
19,A1,,,,,,,,,,,,,,,,,,,,,,
20,A1,A1,,,,,,,,,,,,,,,,,,,,,
21,A1,,,,,,,,,,,,,,,,,,,,,,
22,A1,A1,,,,,,,,,,,,,,,,,,,,,
23,A1,,,,,,,,,,,,,,,,,,,,,,
24,A1,,,,,,,,,,,,,,,,,,,,,,
25,A1,,,,,,,,,,,,,,,,,,,,,,
26,A1,,,,,,,,,,,,,,,,,,,,,,
27,A2,A1,,,,,,,,,,,,,,,,,,,,,
28,A2,A1,,,,,,,,,,,,,,,,,,,,,
29,A2,A1,,,,,,,,,,,,,,,,,,,,,
30,A1,,,,,,,,,,,,,,,,,,,,,,
31,A1,A4,A1,,,,,,,,,,,,,,,,,,,,
32,A1,,,,,,,,,,,,,,,,,,,,,,
33,A1,,,,,,,,,,,,,,,,,,,,,,
34,A1,A4,A4,A1,A2,A1,A3,A1,A3,A1,,,,,,,,,,,,,
35,A1,,,,,,,,,,,,,,,,,,,,,,
36,A1,,,,,,,,,,,,,,,,,,,,,,
37,A2,A1,,,,,,,,,,,,,,,,,,,,,
38,A2,A1,,,,,,,,,,,,,,,,,,,,,
39,A1,,,,,,,,,,,,,,,,,,,,,,
40,A3,A1,,,,,,,,,,,,,,,,,,,,,
41,A1,,,,,,,,,,,,,,,,,,,,,,
42,A2,A1,,,,,,,,,,,,,,,,,,,,,
43,A3,A1,,,,,,,,,,,,,,,,,,,,,
44,A4,A1,,,,,,,,,,,,,,,,,,,,,
45,A3,A1,,,,,,,,,,,,,,,,,,,,,
46,A1,,,,,,,,,,,,,,,,,,,,,,
47,A2,A1,,,,,,,,,,,,,,,,,,,,,
48,A3,A1,,,,,,,,,,,,,,,,,,,,,
49,A1,,,,,,,,,,,,,,,,,,,,,,
50,A3,,,,,,,,,,,,,,,,,,,,,,
51,A3,A1,,,,,,,,,,,,,,,,,,,,,
52,A2,A1,,,,,,,,,,,,,,,,,,,,,
53,A2,A1,,,,,,,,,,,,,,,,,,,,,
54,A3,A1,,,,,,,,,,,,,,,,,,,,,
55,A2,A1,,,,,,,,,,,,,,,,,,,,,
56,A3,A1,,,,,,,,,,,,,,,,,,,,,
57,A2,A1,,,,,,,,,,,,,,,,,,,,,
58,A3,A1,,,,,,,,,,,,,,,,,,,,,
59,A2,A1,,,,,,,,,,,,,,,,,,,,,
60,A2,A1,,,,,,,,,,,,,,,,,,,,,
61,A2,A1,,,,,,,,,,,,,,,,,,,,,
62,A3,A1,,,,,,,,,,,,,,,,,,,,,
63,A4,A1,,,,,,,,,,,,,,,,,,,,,
64,A1,,,,,,,,,,,,,,,,,,,,,,
65,A3,A1,,,,,,,,,,,,,,,,,,,,,
66,A2,A1,,,,,,,,,,,,,,,,,,,,,
67,A2,A1,,,,,,,,,,,,,,,,,,,,,
68,A3,A1,,,,,,,,,,,,,,,,,,,,,
69,A3,A1,,,,,,,,,,,,,,,,,,,,,
70,A3,A1,,,,,,,,,,,,,,,,,,,,,
71,A2,A1,,,,,,,,,,,,,,,,,,,,,
72,A2,A1,,,,,,,,,,,,,,,,,,,,,
73,A1,,,,,,,,,,,,,,,,,,,,,,
74,A3,A1,,,,,,,,,,,,,,,,,,,,,
75,A1,A1,,,,,,,,,,,,,,,,,,,,,
76,A3,A1,,,,,,,,,,,,,,,,,,,,,
77,A2,A1,,,,,,,,,,,,,,,,,,,,,
78,A3,A1,,,,,,,,,,,,,,,,,,,,,
79,A2,A1,,,,,,,,,,,,,,,,,,,,,
80,A1,A1,,,,,,,,,,,,,,,,,,,,,
81,A2,A1,,,,,,,,,,,,,,,,,,,,,
82,A2,A1,,,,,,,,,,,,,,,,,,,,,
83,A1,A3,A1,A4,A1,A3,A1,,,,,,,,,,,,,,,,
84,A3,A1,,,,,,,,,,,,,,,,,,,,,
85,A2,A1,,,,,,,,,,,,,,,,,,,,,
86,A2,A1,,,,,,,,,,,,,,,,,,,,,
87,A4,A1,,,,,,,,,,,,,,,,,,,,,
88,A3,A1,,,,,,,,,,,,,,,,,,,,,
89,A2,A1,,,,,,,,,,,,,,,,,,,,,
90,A3,A1,,,,,,,,,,,,,,,,,,,,,
91,A2,A1,,,,,,,,,,,,,,,,,,,,,
92,A1,A1,,,,,,,,,,,,,,,,,,,,,
93,A1,A1,,,,,,,,,,,,,,,,,,,,,
